Category,File Name,Accession #,Title,Creator,Description,Keywords
SET 17,5735914658.jpg,22.139.83,"Etruscan Terracotta Amphora Attributed to the Painter of Munich 833 in the Metropolitan Museum of Art, November 2010",ElissaSCA,"Title: Terracotta amphora (jar);;Medium; Technique: Terracotta; black-figure;;Culture: Etruscan;;Period: Archaic;;Date: ca. 530525 B.C.;;Artist or Maker: Attributed to the Painter of Munich 833;;Dimensions: H. 12 3/4 in. (32.4 cm);;Classification: Vases;;Credit Line: Rogers Fund, 1922;;Accession Number: 22.139.83;;;Description:;;Obverse, symplegma;Reverse, running satyr;;An aroused satyr runs from one side of the vase to the symplegma (scene of sexual intercourse) on the opposite side. The painter was clearly inspired by Attic black-figure vases with similar subjects.;;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/terracotta_amphora_jar_munich_833//objectview.aspx?OID=130011743&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: terracotta,ElissaSCA: etruscan,ElissaSCA: vase,ElissaSCA: painting,ElissaSCA: archaic,ElissaSCA: blackfigure,ElissaSCA: pottery,ElissaSCA: clay,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5735914666.jpg,22.139.83,"Detail of an Etruscan Terracotta Amphora Attributed to the Painter of Munich 833 in the Metropolitan Museum of Art, November 2010",ElissaSCA,"Title: Terracotta amphora (jar);;Medium; Technique: Terracotta; black-figure;;Culture: Etruscan;;Period: Archaic;;Date: ca. 530525 B.C.;;Artist or Maker: Attributed to the Painter of Munich 833;;Dimensions: H. 12 3/4 in. (32.4 cm);;Classification: Vases;;Credit Line: Rogers Fund, 1922;;Accession Number: 22.139.83;;;Description:;;Obverse, symplegma;Reverse, running satyr;;An aroused satyr runs from one side of the vase to the symplegma (scene of sexual intercourse) on the opposite side. The painter was clearly inspired by Attic black-figure vases with similar subjects.;;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/terracotta_amphora_jar_munich_833//objectview.aspx?OID=130011743&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: terracotta,ElissaSCA: etruscan,ElissaSCA: vase,ElissaSCA: painting,ElissaSCA: archaic,ElissaSCA: blackfigure,ElissaSCA: clay,ElissaSCA: pottery,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5735968994.jpg,09.221.17,"Etruscan Bronze Mirror with Odysseus, Circe, and Elpenor in the Metropolitan Museum of Art, November 2010",ElissaSCA,"Title: Bronze mirror;;Medium; Technique: Bronze;;Culture: Etruscan;;Period: Late Classical;;Date: ca. 350300 B.C.;;Dimensions: diameter 6 1/2in. (16.5cm);;Classification: Bronzes;;Credit Line: Rogers Fund, 1909;;Accession Number: 09.221.17;;Description:;;Said to be from Vetulonia;;Inscribed: Uthste (Odysseus), Cerca (Circe), Velparun (Elpenor);At base, man-boar, one of Odysseus' men;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_mirror//objectview.aspx?OID=130008628&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: etruscan,ElissaSCA: mirror,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: classical,ElissaSCA: odysseus,ElissaSCA: hero,ElissaSCA: circe,ElissaSCA: mythology,ElissaSCA: odyssey,ElissaSCA: homer,ElissaSCA: green,ElissaSCA: inscription,ElissaSCA: bronze,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5735968996.jpg,09.221.17,"Detail of an Etruscan Bronze Mirror with Odysseus, Circe, and Elpenor in the Metropolitan Museum of Art, November 2010",ElissaSCA,"Title: Bronze mirror;;Medium; Technique: Bronze;;Culture: Etruscan;;Period: Late Classical;;Date: ca. 350300 B.C.;;Dimensions: diameter 6 1/2in. (16.5cm);;Classification: Bronzes;;Credit Line: Rogers Fund, 1909;;Accession Number: 09.221.17;;Description:;;Said to be from Vetulonia;;Inscribed: Uthste (Odysseus), Cerca (Circe), Velparun (Elpenor);At base, man-boar, one of Odysseus' men;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_mirror//objectview.aspx?OID=130008628&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: etruscan,ElissaSCA: mirror,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: classical,ElissaSCA: odysseus,ElissaSCA: hero,ElissaSCA: circe,ElissaSCA: mythology,ElissaSCA: odyssey,ElissaSCA: homer,ElissaSCA: green,ElissaSCA: inscription,ElissaSCA: bronze,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5735968998.jpg,09.221.17,"Detail of an Etruscan Bronze Mirror with Odysseus, Circe, and Elpenor in the Metropolitan Museum of Art, November 2010",ElissaSCA,"Title: Bronze mirror;;Medium; Technique: Bronze;;Culture: Etruscan;;Period: Late Classical;;Date: ca. 350300 B.C.;;Dimensions: diameter 6 1/2in. (16.5cm);;Classification: Bronzes;;Credit Line: Rogers Fund, 1909;;Accession Number: 09.221.17;;Description:;;Said to be from Vetulonia;;Inscribed: Uthste (Odysseus), Cerca (Circe), Velparun (Elpenor);At base, man-boar, one of Odysseus' men;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_mirror//objectview.aspx?OID=130008628&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: etruscan,ElissaSCA: mirror,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: classical,ElissaSCA: odysseus,ElissaSCA: hero,ElissaSCA: circe,ElissaSCA: mythology,ElissaSCA: odyssey,ElissaSCA: green,ElissaSCA: inscription,ElissaSCA: homer,ElissaSCA: bronze,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5738447995.jpg,1972.118.97,"Bronze Relief Head of a Woman in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Bronze relief of the head of a woman;;Medium; Technique: Bronze;;Culture: Greek or Roman;;Period: Hellenistic or Late Imperial;;Date: 3rd-1st century B.C. or 4th century A.D.;;Dimensions: H. 4 3/8 in. (11.2 cm);;Classification: Bronzes;;Credit Line: Bequest of Walter C. Baker, 1971;;Accession Number: 1972.118.97;;;Description:;;The relief was possibly used as an applique for a piece of furniture.;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_relief_of_the_head_of_a_woman//objectview.aspx?OID=130015915&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: bronze,ElissaSCA: relief,ElissaSCA: sculpture,ElissaSCA: head,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: greek,ElissaSCA: hellenistic,ElissaSCA: roman,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761381591.jpg,23.160.50,"Bronze Plaque in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Bronze plaque;;Medium; Technique: Bronze;;Culture: Roman;;Period: Late Imperial;;Date: ca. A.D. 247;;Dimensions: H.: 4 x 5 in. (10.2 x 12.7 cm);;Classification: Bronzes;;Credit Line: Rogers Fund, 1923;;Accession Number: 23.160.50;;;Description:;;The inscription names a senior Vestal Virgin, Flavia Publicia, and may be a grant of exemption to a horse or bull from use in harness for pulling a cart or plough.;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_plaque//objectview.aspx?OID=130011882&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: bronze,ElissaSCA: latin,ElissaSCA: inscription,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: green,ElissaSCA: plaque,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761381597.jpg,41.11.6,"Bronze Statuette of a Satyr with a Torch and Wineskin in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Bronze statuette of a satyr with a torch and wineskin;;Medium; Technique: Bronze;;Culture: Greek;;Period: Hellenistic;;Date: 3rd2nd century B.C.;;Dimensions: H. 9 15/16 in. (25.3 cm);;Classification: Bronzes;;Credit Line: Rogers Fund, 1941;;Accession Number: 41.11.6;;;Description:;;Thiasoi were jubilant celebrations in honor of Dionysos that were attended by satyrs and maenads. From ancient literature, we learn that thiasoi occurred outdoors, and often at night. This fine bronze satyr can be identified as a participant in one such revel. An unusual aspect of his iconography is the inverted torch, a motif with great narrative potential, for the satyr may be extinguishing it or perhaps lighting it from a hearth. The full wineskin implies the latter and evokes the promise of a long, boisterous evening of drunken merriment.;;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_statuette_of_a_satyr_with_a_torch_and_wineskin//objectview.aspx?OID=130014119&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: bronze,ElissaSCA: greek,ElissaSCA: hellenistic,ElissaSCA: statuette,ElissaSCA: figurine,ElissaSCA: sculpture,ElissaSCA: satyr,ElissaSCA: mythology,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761403411.jpg,24.97.19,"Sicilian Bronze Fragment of an Inscription in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Bronze fragment of an inscription;;Medium; Technique: Bronze;;Culture: Greek, Sicilian;;Period: Archaic;;Date: ca. 490480 B.C.;;Dimensions: Overall: 6 11/16 x 3 7/8 in. (17 x 9.8 cm);;Classification: Bronzes;;Credit Line: Fletcher Fund, 1924;;Accession Number: 24.97.19;;;Description:;;This inscription is a rare example of Doric script found in Sicily. It concerns a grant of citizenship.;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_fragment_of_an_inscription//objectview.aspx?OID=130011968&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: archaic,ElissaSCA: greek,ElissaSCA: southitalian,ElissaSCA: bronze,ElissaSCA: sicilian,ElissaSCA: inscription,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761403417.jpg,08.170.259,"Bronze Coin of Cyzicus in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Bronze coin of Cyzicus;;Medium; Technique: Bronze;;Culture: Roman, Asia Minor;;Period: Mid-Imperial, Severan;;Date: A.D. 222235;;Classification: Coins;;Credit Line: Rogers Fund, 1908;;Accession Number: 08.170.259;;;Description:;;M AVP CEVH ALEXANDROC AV, bust of Alexander Severus/KVZIKHNWN DIC NEWKOPWN, table with imperial busts and sacrificial implements;Cyzicus (modern Erdek, Turkey);;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/bronze_coin_of_cyzicus//objectview.aspx?OID=130008521&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: bronze,ElissaSCA: coin,ElissaSCA: relief,ElissaSCA: sculpture,ElissaSCA: latin,ElissaSCA: inscription,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761403423.jpg,08.170.89,"Silver Denarius of Octavian in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Silver denarius of Octavian (Augustus);;Medium; Technique: Silver;;Culture: Roman;;Period: Late Republican;;Date: ca. 2927 B.C.;;Classification: Coins;;Credit Line: Rogers Fund, 1908;;Accession Number: 08.170.89;;Description:;;head of Octavian/IMP CAESAR, war trophy set on a ship's prow;Rome or Brundisium;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/silver_denarius_of_octavian_augustus//objectview.aspx?OID=130008511&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: roman,ElissaSCA: coin,ElissaSCA: silver,ElissaSCA: trophy,ElissaSCA: augustus,ElissaSCA: emperor,ElissaSCA: latin,ElissaSCA: inscription,ElissaSCA: julioclaudian,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761978516.jpg,17.194.9,"Glass Cameo with Dionysos and Nymph in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Glass cameo: Dionysos and a nymph;;Medium; Technique: Glass opaque on blue;;Culture: Roman;;Period: Late Republican or Imperial;;Date: 1st century B.C.3rd century A.D.;;Dimensions: 59/64 x 1 11/64 x 11/64 in. (2.3 x 3.0 x 0.4 cm);;Classification: Gems;;Credit Line: Gift of J. Pierpont Morgan, 1917;;Accession Number: 17.194.9;;;Description:;;Dionysos and a nymph;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/glass_cameo_dionysos_and_a_nymph//objectview.aspx?OID=130009734&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: cameo,ElissaSCA: relief,ElissaSCA: sculpture,ElissaSCA: dionysos,ElissaSCA: bacchus,ElissaSCA: nymph,ElissaSCA: mythology,ElissaSCA: roman,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761978522.jpg,98.8.25,"Terracotta Kylix Attributed to the Phineus Painter in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Terracotta kylix (drinking cup);;Medium; Technique: Terracotta; black-figure;;Culture: Greek, Chalcidian;;Period: Archaic;;Date: last quarter of 6th century B.C.;;Artist or Maker: Attributed to the Phineus Painter;;Dimensions: H. 5 3/8 in. (13.7 cm) diameter 10 7/8 in. (27.6 cm);;Classification: Vases;;Credit Line: Gift of F. W. Rhinelander, 1898;;Accession Number: 98.8.25;;Description:;;Exterior, obverse, satyr between eyes; reverse, maenad between eyes;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/terracotta_kylix_drinking_cup_phineus_painter//objectview.aspx?OID=130007210&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: kylix,ElissaSCA: vase,ElissaSCA: painting,ElissaSCA: archaic,ElissaSCA: satyr,ElissaSCA: mythology,ElissaSCA: pottery,ElissaSCA: clay,ElissaSCA: ceramic,ElissaSCA: terracotta,ElissaSCA: greek,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 17,5761978530.jpg,63.11.3,"Detail of a Terracotta Neck-Amphora Attributed to the Painter of the Cambridge Hydria in the Metropolitan Museum of Art, February 2011",ElissaSCA,"Title: Terracotta neck-amphora (jar);;Medium; Technique: Terracotta; black-figure;;Culture: Greek, Chalcidian;;Period: Archaic;;Date: ca. 540 B.C.;;Artist or Maker: Attributed to the Painter of the Cambridge Hydria;;Dimensions: Overall: 11 1/2 x 7 3/16in. (29.2 x 18.2cm) diameter of body 6 7/16in. (16.3cm) diameter of foot 4 1/16in. (10.3cm);;Classification: Vases;;Credit Line: Dodge Fund, 1963;;Accession Number: 63.11.3;;;Description:;;Obverse and reverse, on the shoulder, siren; on the body, cocks flanking a floral; under the handles, man running.;;This type of very fine black-figure vase is found primarily in southern Italy and was probably made there. It is known as Chalcidian because some examples carry inscriptions in the script used at the city of Chalkis, on the island of Euboea.;;Text from: <a href=http://www.metmuseum.org/Works_of_Art/collection_database/greek_and_roman_art/terracotta_neck_amphora_jar_cambridge_hydria//objectview.aspx?OID=130015655&amp;collID=13&amp;dd1=13 rel=nofollow>www.metmuseum.org/Works_of_Art/collection_database/greek_...</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2011,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: fujifinepixs6000fd,ElissaSCA: amphora,ElissaSCA: archaic,ElissaSCA: greek,ElissaSCA: vase,ElissaSCA: painting,ElissaSCA: pottery,ElissaSCA: clay,ElissaSCA: terracotta,ElissaSCA: ceramic,ElissaSCA: blackfigure,ElissaSCA: orange,ElissaSCA: black,3D,Artwork,AccessionInDesc,Description,DescriptionInDesc"
SET 18,2451628991.jpg,54.135,"Medieval Box for Game Pieces in the Metropolitan Museum of Art, January 2008",ElissaSCA,"Box for Game Pieces;Bone, carved and originally painted;Italian, Savoy (?), mid-15th century;;Accession # 54.135;;Text from the Metropolitan Museum of Art label","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2008,ElissaSCA: medieval,ElissaSCA: fujifinepixs6000fd,ElissaSCA: box,ElissaSCA: relief,ElissaSCA: sculpture,ElissaSCA: italian,3D,Artwork,AccessionInDesc,Description"
SET 18,2627967107.jpg,43.24.3,"Buddha Possibly Vairochana in the Metropolitan Museum of Art, February 2008",ElissaSCA,"Buddha, possibly Vairochana (Piluzhena);Tang dynasty (618-907), early 8th century;Gilded bronze;;Accession # 43.24.3;;The type of teaching gesture in which thumb of the proper right hand touches the little finger of the left, suggests that this sculpture represents Vairochana, a transcendent manifestation of the Buddha Shakyamuni, who played an important role in the early Esoteric tradition that became popular in China in the 8th century. The sculpture may have been the central icon in a larger grouping of figures designed to represent a three-dimensional mandala.; ;Text from the Metropolitan Museum of Art label.;","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2008,ElissaSCA: asian,ElissaSCA: sculpture,ElissaSCA: fujifinepixs6000fd,ElissaSCA: chinese,ElissaSCA: buddha,ElissaSCA: bronze,ElissaSCA: gold,ElissaSCA: ancient,ElissaSCA: ancientworld,3D,Artwork,AccessionInDesc,Description"
SET 18,4371132398.jpg,21.21.4,"Limestone Capital with a Centaur in the Metropolitan Museum of Art, March 2009",ElissaSCA,"Limestone Capital with a Centaur Battling a Man with Bow and Arrow;North Spanish, Palencia;Carved about 1175-1200;;Accession # 21.21.4;;Like the capital to the right depict, this one depicts a man and animal engaged in combat in a simple almost abstract manner. Here the centaur engages a man with bow and arrow.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2009,ElissaSCA: medieval,ElissaSCA: sculpture,ElissaSCA: relief,ElissaSCA: column,ElissaSCA: capital,ElissaSCA: spanish,ElissaSCA: romanesque,ElissaSCA: fujifinepixs6000fd,ElissaSCA: centaur,ElissaSCA: monster,ElissaSCA: mythology,ElissaSCA: middleages,3D,Artwork,AccessionInDesc,Description"
SET 18,4371924820.jpg,65.268,"Limestone Sculpture of Moses with the Tablets of Law in the Metropolitan Museum of Art, March 2009",ElissaSCA,"Limestone Sculpture of Moses with Tablets of the Law ;French, Picardy, from the Cathedral of Noyon;Carved about 1170;;Accession # 65.268;;This sculpture of Moses, holding the tablets with the Ten Commandments, and the opposite figure, his brother Aaron, form part of a rare ensemble of key figures from the Hebrew Bible. Often shown together on Gothic portals as forerunners of Jesus, they and other statues originally flanked and enthroned Virgin and Child that still survives in the Gothic Cathedral at Noyon. The sculptures are distinguished by garments of weighty fabric arranged in swelling volumes stretched across the body. They were removed from the cathedral in the wake of the French Revolution, and the surface of each sculpture was affected by different environmental conditions. ;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2009,ElissaSCA: french,ElissaSCA: medieval,ElissaSCA: gothic,ElissaSCA: sculpture,ElissaSCA: statue,ElissaSCA: fujifinepixs6000fd,ElissaSCA: moses,ElissaSCA: middleages,3D,Artwork,AccessionInDesc,Description"
SET 18,4406525531.jpg,61.247,"Yellow Green Hexagonal Glass Bottle with a Stylite Saint in the Metropolitan Museum of Art, January 2010",ElissaSCA,"Yellow Green Hexagonal Glass Bottle with a Stylite Saint;Mold-blown;Byzantine, probably from Syria;Made 450-650;;Accession # 61.247;;The stylite saints depicted on tall glass vessels made in Syria were men who renounced the world and lived atop pillars (styloi). Most renowned was Saint Symeon the Stylite the Elder (389-459), whose pillar on the mountain of Qal'at Sem'an, near Antioch, became the center of a large pilgrimage complex. Pilgrims collected dirt from the base of his column.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: fujifinepixs6000fd,ElissaSCA: medieval,ElissaSCA: vase,ElissaSCA: byzantine,ElissaSCA: lateantique,ElissaSCA: saint,ElissaSCA: christian,ElissaSCA: glass,ElissaSCA: bottle,3D,Artwork,AccessionInDesc,Description"
SET 18,4406555969.jpg,06.1232.96,"Clay Lamp with a Christogram in the Metropolitan Museum of Art, January 2010",ElissaSCA,"Clay Lamp with a Christogram;Roman or Byzantine, said to be from Maidum, Egypt;Made 300-500 in the eastern Mediterranean;;Accession # 06.1232.96;;Inexpensive clay lamps, made from molds, provided light for most people. Religious images used as decoration were thought to offer protection for their owners.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2010,ElissaSCA: lamp,ElissaSCA: fujifinepixs6000fd,ElissaSCA: christian,ElissaSCA: clay,ElissaSCA: pottery,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: byzantine,ElissaSCA: lateantique,ElissaSCA: ancient,ElissaSCA: ancientworld,3D,Artwork,AccessionInDesc,Description"
